title,park,date,rating,cc,location.latitude,location.longitude,datayear,day,address,community,geocode_address,datamonth
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Mann Park,2015-08-13T02:21:00Z,PG,Yes,41.6591568,-87.54946136,2015,Thu,3035 E. 130st St. Chicago IL 60633,HEGEWISCH,3035 E. 130st St. Chicago IL 60633,08
A Bug's Life,Adams Playground Park,2015-08-12T02:50:00Z,G,No,41.91665268,-87.65535736,2015,Wed,"1919 N Seminary Ave Chicago, IL 60614",LINCOLN PARK,"1919 N Seminary Ave Chicago, IL 60614",08
A League of Their Own,"Ward, A. Montgomery Park",2015-08-12T03:08:00Z,PG,Yes,41.89364243,-87.64193726,2015,Wed,630 N. Kingsbury St. Chicago IL 60606,NEAR NORTH SIDE,630 N. Kingsbury St. Chicago IL 60606,08
The Princess Bride,Daniel Webster Park,2015-08-12T02:38:00Z,PG,Yes,41.86395645,-87.62201691,2015,Wed,"1401 S Indiana Ave Chicago, IL 60605",NEAR SOUTH SIDE,"1401 S Indiana Ave Chicago, IL 60605",08
Mamma Mia,Wilson Frank J. Park,2015-08-11T02:48:00Z,PG-13,Yes,41.9646492,-87.75836182,2015,Tue,4630 N. Milwaukee Ave. Chicago IL 60630,PORTAGE PARK,4630 N. Milwaukee Ave. Chicago IL 60630,08
Toy Story,Lake Meadows Park,2015-08-11T02:21:00Z,G,Yes,41.83804321,-87.61347198,2015,Tue,3117 S. Rhodes Ave. Chicago IL 60616,DOUGLAS,3117 S. Rhodes Ave. Chicago IL 60616,08
Dr. Seuss' How the Grinch Stole Christmas,Schreiber Playground Park,2015-08-09T03:14:00Z,PG,No,41.99901581,-87.66928101,2015,Sun,1552 W. Schreiber Ave. Chicago IL 60626,ROGERS PARK,1552 W. Schreiber Ave. Chicago IL 60626,08
The Goonies,Edgebrook Park,2015-08-09T02:54:00Z,PG,Yes,41.99946594,-87.76202393,2015,Sun,6525 N. Hiawatha Ave. Chicago IL 60646,FOREST GLEN,6525 N. Hiawatha Ave. Chicago IL 60646,08
Selma,Ellis (Samuel) Park,2015-08-09T03:08:00Z,PG-13,Yes,41.82777786,-87.60858154,2015,Sun,535 E. 35th St. Chicago IL 60653,DOUGLAS,535 E. 35th St. Chicago IL 60653,08
Big Hero 6,Norwood Park,2015-08-08T03:15:00Z,PG,No,41.98659134,-87.79413605,2015,Sat,5801 N. Natoma Ave. Chicago IL 60631,NORWOOD PARK,5801 N. Natoma Ave. Chicago IL 60631,08
Frozen,Touhy Park,2015-08-08T03:00:00Z,PG,No,42.0148735,-87.67243958,2015,Sat,7348 N. Paulina St. Chicago IL 60626,ROGERS PARK,7348 N. Paulina St. Chicago IL 60626,08
Night at the Museum: Secret of the Tomb,Green Briar Park,2015-08-08T02:38:00Z,PG,Yes,41.99058914,-87.69587708,2015,Sat,2650 W. Peterson Ave. Chicago IL 60659,WEST RIDGE,2650 W. Peterson Ave. Chicago IL 60659,08
X-Men: Days of Future Past,Meyering Playground Park,2015-08-08T03:11:00Z,PG-13,Yes,41.76466751,-87.61575317,2015,Sat,7140 S. Martin Luther King Dr. Chicago IL 60619,GREATER GRAND CROSSING,7140 S. Martin Luther King Dr. Chicago IL 60619,08
Sister Act,Williams (Daniel Hale) Park,2015-08-08T02:40:00Z,PG,Yes,41.8441925,-87.62886047,2015,Sat,2710 S Dearborn Chicago IL 60616,DOUGLAS,2710 S Dearborn Chicago IL 60616,08
The Princess and the Frog,Broncho Billy Playlot Park,2015-08-07T03:07:00Z,G,No,41.96285248,-87.66093445,2015,Fri,"4437 N Magnolia Ave Chicago, IL 60640",UPTOWN,"4437 N Magnolia Ave Chicago, IL 60640",08
Despicable Me 2,Kelly Park,2015-08-07T03:08:00Z,PG,Yes,41.81906128,-87.69380951,2015,Fri,2725 W. 41st St. Chicago IL 60632,BRIGHTON PARK,2725 W. 41st St. Chicago IL 60632,08
Annie (2014),Lindblom Park,2015-08-07T03:30:00Z,PG,No,41.78319931,-87.6741333,2015,Fri,6054 S. Damen Ave. Chicago IL 60636,WEST ENGLEWOOD,6054 S. Damen Ave. Chicago IL 60636,08
Get On Up,Hayes Park,2015-08-07T03:19:00Z,PG-13,Yes,41.73907852,-87.69678497,2015,Fri,2936 W. 85th St. Chicago IL 60652,ASHBURN,2936 W. 85th St. Chicago IL 60652,08
42,Austin Town Hall Park,2015-08-07T03:08:00Z,PG-13,Yes,41.88805771,-87.76578522,2015,Fri,"5610 W Lake St Chicago, IL 60644",AUSTIN,"5610 W Lake St Chicago, IL 60644",08
Big Hero 6,Archer Park,2015-08-06T02:42:00Z,PG,Yes,41.80400848,-87.73569489,2015,Thu,4901 S. Kilbourn Ave. Chicago IL 60632,ARCHER HEIGHTS,4901 S. Kilbourn Ave. Chicago IL 60632,08
The Sandlot,Sheridan Park,2015-08-06T02:41:00Z,PG,Yes,41.87052536,-87.65449524,2015,Thu,910 S. Aberdeen St. Chicago IL 60607,NEAR WEST SIDE,910 S. Aberdeen St. Chicago IL 60607,08
A Latino Film Festival Selection,Loyola Park,2015-08-06T03:00:00Z,NR,Yes,42.01041412,-87.66117859,2015,Thu,1230 W. Greenleaf Ave. Chicago IL 60626,ROGERS PARK,1230 W. Greenleaf Ave. Chicago IL 60626,08
UP,West Lawn Park,2015-08-05T03:30:00Z,PG,No,41.77493286,-87.72831726,2015,Wed,4233 W. 65th St. Chicago IL 60629,WEST LAWN,4233 W. 65th St. Chicago IL 60629,08
E.T. The Extra-Terrestrial,Bell Park,2015-08-05T03:30:00Z,PG,No,41.93524551,-87.79602051,2015,Wed,"3020 N Oak Park Ave Chicago, IL 60634",MONTCLARE,"3020 N Oak Park Ave Chicago, IL 60634",08
The Lego Movie,River Park,2015-08-05T02:40:00Z,PG,Yes,41.97340012,-87.70230865,2015,Wed,5100 N. Francisco Ave. Chicago IL 60611,LINCOLN SQUARE,5100 N. Francisco Ave. Chicago IL 60611,08
Strange Magic,Douglas Park,2015-08-05T02:39:00Z,PG,Yes,41.86323547,-87.70204926,2015,Wed,1401 S. Sacramento Dr. Chicago IL 60623,NORTH LAWNDALE,1401 S. Sacramento Dr. Chicago IL 60623,08
Jurassic Park,"Bartelme, Mary Park",2015-08-05T03:07:00Z,PG-13,Yes,41.88024521,-87.65080261,2015,Wed,"115 S Sangamon St Chicago, IL 60607",NEAR WEST SIDE,"115 S Sangamon St Chicago, IL 60607",08
Frozen,Chippewa Park,2015-08-04T02:48:00Z,PG,Yes,42.00387573,-87.7046051,2015,Tue,"6748 N Sacramento Ave Chicago, IL 60645",WEST RIDGE,"6748 N Sacramento Ave Chicago, IL 60645",08
Annie (2014),Wentworth Gardens Park,2015-08-04T02:58:00Z,PG,Yes,41.82579803,-87.6313858,2015,Tue,3770 S. Wentworth Ave. Chicago IL 60609,ARMOUR SQUARE,3770 S. Wentworth Ave. Chicago IL 60609,08
To Kill a Mockingbird,Jackson Park,2015-08-04T03:09:00Z,NR,Yes,41.77771378,-87.58693695,2015,Tue,"6401 S Stony Island Ave Chicago, IL 60637",HYDE PARK,"6401 S Stony Island Ave Chicago, IL 60637",08
X-Men: Days of Future Past,Jonquil Playlot Park,2015-08-03T03:42:00Z,PG-13,Yes,41.92899323,-87.65377045,2015,Mon,1001 W. Wrightwood Ave. Chicago IL 60614,LINCOLN PARK,1001 W. Wrightwood Ave. Chicago IL 60614,08
The Boxtrolls,Humboldt Park,2015-08-02T02:36:00Z,PG,Yes,41.90572739,-87.7037735,2015,Sun,"1440 N Humboldt Dr Chicago, IL 60622",WEST TOWN,"1440 N Humboldt Dr Chicago, IL 60622",08
Maleficent,Kennicott Park,2015-08-02T02:37:00Z,PG,Yes,41.81412125,-87.59686279,2015,Sun,4434 S. Lake Park Ave. Chicago IL 60653,KENWOOD,4434 S. Lake Park Ave. Chicago IL 60653,08
Annie (2014),Shabbona Park,2015-08-02T02:58:00Z,PG,Yes,41.94532394,-87.79989624,2015,Sun,6935 W. Addison St. Chicago IL 60634,DUNNING,6935 W. Addison St. Chicago IL 60634,08
Ghostbusters,Garfield Park,2015-08-01T03:15:00Z,PG,Yes,41.88142014,-87.71589661,2015,Sat,"100 N Central Park Ave Chicago, IL 60624",EAST GARFIELD PARK,"100 N Central Park Ave Chicago, IL 60624",08
Big Hero 6,Kosciuszko Park,2015-08-01T03:12:00Z,PG,Yes,41.93063354,-87.72327423,2015,Sat,2732 N. Avers Ave. Chicago IL 60647,LOGAN SQUARE,2732 N. Avers Ave. Chicago IL 60647,08
Frozen Sing-A-Long,Athletic Field Park,2015-08-01T03:00:00Z,PG,No,41.94668198,-87.71703339,2015,Sat,"3546 W Addison St Chicago, IL 60618",IRVING PARK,"3546 W Addison St Chicago, IL 60618",08
The Lego Movie,Rainey Park,2015-07-31T03:10:00Z,PG,Yes,41.74944687,-87.73049927,2015,Fri,4350 W. 79th St. Chicago IL 60652,ASHBURN,4350 W. 79th St. Chicago IL 60652,07
A Latino Film Festival Selection,Hermosa Park,2015-07-30T03:30:00Z,NR,Yes,41.92153931,-87.73892212,2015,Thu,2240 N. Kilbourn Ave. Chicago IL 60639,HERMOSA,2240 N. Kilbourn Ave. Chicago IL 60639,07
Big Hero 6,Portage Park,2015-07-30T03:30:00Z,PG,No,41.95508957,-87.76216125,2015,Thu,"4100 N Long Ave Chicago, IL 60641",PORTAGE PARK,"4100 N Long Ave Chicago, IL 60641",07
Teenage Mutant Ninja Turtles (2014),Lowe Playground Park,2015-07-30T03:11:00Z,PG-13,Yes,41.7997818,-87.64161682,2015,Thu,5203 S. Lowe Ave. Chicago IL 60609,NEW CITY,5203 S. Lowe Ave. Chicago IL 60609,07
How to Train Your Dragon 2,Union Park,2015-07-30T03:12:00Z,PG,Yes,41.88421249,-87.66551971,2015,Thu,1501 W. Randolph St. Chicago IL 60607,NEAR WEST SIDE,1501 W. Randolph St. Chicago IL 60607,07
Big Hero 6,Chicago Women's Park and Gardens,2015-07-29T03:12:00Z,PG,Yes,41.85781097,-87.62203979,2015,Wed,"1801 S Indiana Ave Chicago, IL 60616",NEAR SOUTH SIDE,"1801 S Indiana Ave Chicago, IL 60616",07
The Fugitive,"Ward, A. Montgomery Park",2015-07-29T03:40:00Z,PG-13,Yes,41.89364243,-87.64193726,2015,Wed,630 N. Kingsbury St. Chicago IL 60606,NEAR NORTH SIDE,630 N. Kingsbury St. Chicago IL 60606,07
Anchorman: The Legend of Ron Burgundy,Heritage Green Park,2015-07-28T03:04:00Z,PG,Yes,41.87962341,-87.64317322,2015,Tue,610-30 W. Adams St. Chicago IL 60606,NEAR WEST SIDE,610-30 W. Adams St. Chicago IL 60606,07
Stage Door,Lincoln Park,2015-07-28T03:15:00Z,NR,Yes,41.928495,-87.636008,2015,Tue,2045 N Lincoln Park West Chicago IL 60614,LINCOLN PARK,2045 N Lincoln Park West Chicago IL 60614,07
St. Vincent,Holstein Park,2015-07-28T03:12:00Z,PG-13,Yes,41.9219017,-87.68556213,2015,Tue,2200 N. Oakley Ave. Chicago IL 60647,LOGAN SQUARE,2200 N. Oakley Ave. Chicago IL 60647,07
Over the Hedge,Davis Square Park,2015-07-27T02:53:00Z,PG,Yes,41.81347275,-87.66633606,2015,Mon,4430 S. Marshfield Ave. Chicago IL 60609,NEW CITY,4430 S. Marshfield Ave. Chicago IL 60609,07
